LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2000,17.200001,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2001,14.342,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2002,15,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2003,13.043,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2004,14.353,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2005,15.778,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2006,16.667,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2007,15.4,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2008,11.937,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2009,16.364,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2010,14.043,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2011,15.966,
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2012,13.75,
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2000,23.142,
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2001,22.802,
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2002,24.489,
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2003,21.136999,
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2004,22.431,
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2005,22.032,
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2006,21.855,
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2007,21.634001,
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2008,20.917,
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2009,19.356001,
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2010,19.188999,
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2011,18.551001,
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2012,18.184999,
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2000,13.599,
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2001,13.187,
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2002,11.605,
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2003,15.205,
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2004,11.832,
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2005,11.511,
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2006,10.253,
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2007,9.8739996,
BEL,WAGEGAP,TOT,PC_MENWAGE,A,2008,8.9160004,
